school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE   ,757715,1.44504676205659,103.82102212387,PRIMARY,GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT   ,757704,1.44531502131387,103.816843258118,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK   ,545166,1.38949740422462,103.899767112047,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE   ,545090,1.38659683143747,103.898365036709,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
SENGKANG GREEN PRIMARY SCHOOL,15 Fernvale Road   ,797636,1.39284606680477,103.875217666486,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1   ,555889,1.36932570490947,103.869270301476,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,SERANGOON,No,No,No
SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW   ,534237,1.37465538827443,103.902138740699,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,HOUGANG,No,No,No
SHUQUN PRIMARY SCHOOL,8 JURONG WEST STREET 51   ,649332,1.34765311431632,103.721523713379,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1   ,739067,1.43240935732525,103.786035065192,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190 DUNEARN ROAD   ,309437,1.3206340835184,103.828164966953,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,NOVENA,No,No,No
SINGAPORE CHINESE GIRLS' SCHOOL,190 DUNEARN ROAD   ,309437,1.3206340835184,103.828164966953,SECONDARY (S1-S4),INDEPENDENT SCHOOL,SOUTH,NOVENA,No,No,No
SINGAPORE SPORTS SCHOOL,1 Champions Way   ,737913,1.42641140556342,103.789444793951,"MIXED LEVEL (S1-S5, JC1-JC2)",SPECIALISED SCHOOL,NORTH,WOODLANDS,No,No,No
SOUTH VIEW PRIMARY SCHOOL,6 Choa Chu Kang Central   ,689762,1.38166664389749,103.746275846011,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
SPECTRA SECONDARY SCHOOL,1 WOODLANDS DRIVE 64   ,737758,1.43703750789961,103.804100467487,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,NORTH,WOODLANDS,No,No,No
SPRINGDALE PRIMARY SCHOOL,71 Anchorvale Link   ,544799,1.39467010299293,103.889926221247,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
SPRINGFIELD SECONDARY SCHOOL,30 TAMPINES AVENUE 8   ,529593,1.34957303471476,103.930354460693,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
ST ANDREW'S JUNIOR COLLEGE,5 Sorby Adams Drive   ,357691,1.33306515740956,103.863576377056,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
ST ANDREW'S SCHOOL (JUNIOR),2 FRANCIS THOMAS DRIVE   ,359337,1.33140255308868,103.865117134385,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
ST ANDREW'S SCHOOL (SECONDARY),15 FRANCIS THOMAS DRIVE   ,359342,1.33069360968075,103.866249138562,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4   ,469701,1.3347253730189,103.941234868202,PRIMARY,GOVERNMENT-AIDED SCH,EAST,BEDOK,No,No,No
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4   ,469700,1.33466313498855,103.941977166932,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,BEDOK,No,Yes,No
ST. ANTHONY'S PRIMARY SCHOOL,30 Bukit Batok St 32   ,659401,1.36411948475833,103.749251919049,PRIMARY,GOVERNMENT-AIDED SCH,WEST,BUKIT BATOK,No,No,No
ST. GABRIEL'S PRIMARY SCHOOL,220 Lorong Chuan   ,556742,1.34947192653862,103.862561037707,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,SERANGOON,No,No,No
ST. GABRIEL'S SECONDARY SCHOOL,24 SERANGOON AVENUE 1   ,556140,1.34648798732177,103.876094163287,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,SERANGOON,No,No,No
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,529706,1.34938565036336,103.937007133662,PRIMARY,GOVERNMENT-AIDED SCH,EAST,TAMPINES,No,No,Yes
ST. HILDA'S SECONDARY SCHOOL,2 TAMPINES STREET 82   ,528986,1.34973922385379,103.937608032148,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,TAMPINES,No,No,No
ST. JOSEPH'S INSTITUTION,38 MALCOLM ROAD   ,308274,1.32365313490152,103.828498974985,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,SOUTH,NOVENA,No,No,No
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,309331,1.31772860986913,103.845611935235,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,NOVENA,No,No,No
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,228197,1.30390355715254,103.845955315605,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CENTRAL,No,No,No
ST. MARGARET'S SCHOOL (SECONDARY),111 FARRER ROAD   ,259240,1.32006821363359,103.80995114006,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,BUKIT TIMAH,No,Yes,No
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD   ,429058,1.30788341871801,103.917638193713,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,BEDOK,No,No,No
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,455789,1.31878997295135,103.917258129598,PRIMARY,GOVERNMENT-AIDED SCH,EAST,BEDOK,No,No,No
SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34   ,659322,1.36471742697475,103.750396136688,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
TAMPINES MERIDIAN JUNIOR COLLEGE,21 Pasir Ris Street 71   ,518799,1.37633346909682,103.936990723441,JUNIOR COLLEGE,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,529565,1.36047641484682,103.948725782833,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,529426,1.34977870805929,103.944004684986,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
TAMPINES SECONDARY SCHOOL,252 TAMPINES ST 12   ,529427,1.34926094811197,103.944263709507,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
TANJONG KATONG GIRLS' SCHOOL,20 Dunman Lane   ,439272,1.30821274627283,103.895820094229,SECONDARY (S1-S4),GOVERNMENT SCHOOL,EAST,MARINE PARADE,No,Yes,No
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,437259,1.30525783246242,103.900162653092,PRIMARY,GOVERNMENT SCHOOL,EAST,MARINE PARADE,No,No,No
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD   ,438796,1.30873515955341,103.897225196199,SECONDARY (S1-S4),GOVERNMENT SCHOOL,EAST,MARINE PARADE,No,Yes,No
TAO NAN SCHOOL,49 MARINE CRESCENT   ,449761,1.30528528687321,103.911553152326,PRIMARY,GOVERNMENT-AIDED SCH,EAST,MARINE PARADE,Yes,No,Yes
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,569299,1.36558782075966,103.850957126982,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,688261,1.38364996834457,103.753291857016,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,479239,1.33104585441349,103.910934011337,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
TEMASEK JUNIOR COLLEGE,2 Tampines Avenue 9   Temasek Junior College,529564,1.35728017255861,103.956185936394,MIXED LEVEL (S1-JC2),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
