school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE   ,738907,1.4426347903311,103.800040119743,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT   ,737916,1.44589068910993,103.802398196596,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11   ,768643,1.43315271543517,103.832942401086,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7   ,768928,1.43605975368804,103.829718690077,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
AI TONG SCHOOL,100 Bright Hill Drive   ,579646,1.3605834338904,103.833020333986,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BISHAN,Yes,No,No
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent   ,159016,1.29133439161334,103.824424680531,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive   ,544969,1.39036998654612,103.887165375933,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9   ,569785,1.38426429436736,103.841392081119,PRIMARY,GOVERNMENT SCHOOL,NORTH,ANG MO KIO,No,No,No
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53   ,569206,1.37434001701177,103.851554107068,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,ANG MO KIO,No,Yes,No
ANDERSON SERANGOON JUNIOR COLLEGE,1033 Upper Serangoon Road   ,534768,1.36504342002442,103.887038809373,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3   ,569920,1.36932176584608,103.839630858752,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22   ,569362,1.36733710171069,103.842154973672,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD   ,487012,1.33058126205128,103.941082513081,SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,BEDOK,Yes,Yes,No
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST   ,139745,1.30304255193392,103.785358436408,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,WEST,QUEENSTOWN,No,No,No
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD   ,309919,1.31961649151328,103.835772689988,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,NOVENA,No,No,No
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD   ,139650,1.30370409257783,103.780363417671,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,SOUTH,QUEENSTOWN,No,No,Yes
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD   ,227988,1.30935041274966,103.840950265464,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,CENTRAL,No,No,No
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD   ,309918,1.31837054523521,103.835609732354,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,NOVENA,No,No,Yes
ANGSANA PRIMARY SCHOOL,51 Tampines Street 61   ,528565,1.36360590588314,103.9389409004,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD   ,678117,1.36838160662857,103.766687526556,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,WEST,BUKIT PANJANG,No,No,No
ASSUMPTION PATHWAY SCHOOL,30 Cashew Road   ,679697,1.3696707043227,103.765959130581,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI   ,538403,1.33995415587811,103.882806211705,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,TOA PAYOH,No,No,No
BEACON PRIMARY SCHOOL,36 Bukit Panjang Ring Road   ,679944,1.38394936211823,103.773632022975,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH   ,318990,1.341790284928,103.852280842345,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,TOA PAYOH,No,No,No
BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVE 2   ,469317,1.32344593287992,103.937878976352,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVE 3   ,469722,1.33451947288431,103.935028383346,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK   ,468585,1.32513655159184,103.950989139261,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3   ,469293,1.32415704029686,103.943776245024,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD   ,339948,1.32181250780475,103.865404167629,PRIMARY,GOVERNMENT SCHOOL,SOUTH,KALLANG,No,No,No
BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD   ,327919,1.32461111307996,103.860970284401,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,KALLANG,No,No,No
BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS   ,109100,1.27612047924037,103.808628535239,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE   ,649930,1.34317853793318,103.713280889452,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65   ,648354,1.34272216334333,103.701891453912,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI   ,547529,1.37035994436209,103.877659577677,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT   ,399935,1.30705061123433,103.886917922608,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,GEYLANG,No,No,No
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8   ,658962,1.34849111079052,103.74087370482,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU   ,159050,1.28569283064288,103.813438929393,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4   ,689809,1.38224243360043,103.738361221869,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,Yes,No
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD   ,679676,1.37362179302436,103.769374904025,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis   ,598112,1.3372995575169,103.766828720721,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT TIMAH,No,No,No
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21   ,659634,1.34586054788695,103.75366641455,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21   ,659633,1.3457330554294,103.752226593984,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE   ,757714,1.45125024371543,103.815858858929,PRIMARY,GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE   ,757699,1.45319086315972,103.814203583818,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
CANOSSA CATHOLIC PRIMARY SCHOOL,1 Sallim Road   ,387621,1.32664424544839,103.882227964852,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GEYLANG,No,No,No
CANTONMENT PRIMARY SCHOOL,1 CANTONMENT CLOSE   ,88256,1.27547252623201,103.839962631748,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41   ,518935,1.37246063927999,103.957020286115,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
CATHOLIC HIGH SCHOOL,9 BISHAN STREET 22   ,579767,1.35452517065756,103.844900804804,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,BISHAN,Yes,Yes,Yes
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD   ,297822,1.32455605783219,103.835028842353,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,NOVENA,No,No,No
CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE   ,349692,1.33375800216334,103.873933064886,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,TOA PAYOH,No,Yes,No
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE   ,349700,1.3355885014312,103.87562104944,PRIMARY,GOVERNMENT SCHOOL,SOUTH,TOA PAYOH,No,No,No
CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3   ,529894,1.33950630072876,103.953245525564,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3   ,529896,1.34023163951633,103.952080114035,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
CHIJ (KATONG) PRIMARY,17 MARTIA ROAD   ,424821,1.30648535277087,103.911105620496,PRIMARY,GOVERNMENT-AIDED SCH,EAST,BEDOK,No,No,No
CHIJ (KELLOCK),1 Bukit Teresa Road   ,99757,1.275022722964,103.828157564896,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BUKIT MERAH,No,No,No
CHIJ KATONG CONVENT,346 MARINE TERRACE   ,449150,1.30644268034894,103.917144350028,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,MARINE PARADE,No,Yes,No
CHIJ OUR LADY OF GOOD COUNSEL,2C Burghley Drive   ,558979,1.35742952269615,103.864009397373,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,SERANGOON,No,No,No
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD   ,534793,1.37330297140128,103.897575728303,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,HOUGANG,No,No,No
CHIJ OUR LADY QUEEN OF PEACE,4 Chestnut Drive   ,679287,1.366603668561,103.767412204602,PRIMARY,GOVERNMENT-AIDED SCH,WEST,BUKIT PANJANG,No,No,No
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh   ,319765,1.33275264711587,103.841847263786,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
CHIJ SECONDARY (TOA PAYOH),626 LORONG 1 TOA PAYOH   ,319764,1.33246079948303,103.843271625083,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,Yes,No
CHIJ ST. JOSEPH'S CONVENT,62 SENGKANG EAST WAY   ,548595,1.39175222260369,103.902464991543,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,SENG KANG,No,No,No
CHIJ ST. NICHOLAS GIRLS' SCHOOL,501 ANG MO KIO STREET 13   ,569405,1.37347687878916,103.834253269436,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,ANG MO KIO,Yes,Yes,No
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD   ,99138,1.27535177510054,103.822440701642,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,BUKIT MERAH,No,No,No
CHONGFU SCHOOL,170 YISHUN AVENUE 6   ,768959,1.43839562897006,103.839309173817,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,YISHUN,No,No,No
CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21   ,529392,1.35070739237744,103.951399541868,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17   ,737924,1.42656780901455,103.793451105242,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,WOODLANDS,No,No,No
CHUA CHU KANG PRIMARY SCHOOL,20 CHOA CHU KANG AVENUE 2   ,689905,1.37775890093367,103.741832917421,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
CHUA CHU KANG SECONDARY SCHOOL,31 TECK WHYE CRESCENT   ,688848,1.38333422637073,103.75510327583,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
CHUNG CHENG HIGH SCHOOL (MAIN),50 GOODMAN ROAD   ,439012,1.30509154753048,103.891653229373,SECONDARY (S1-S4),GOVERNMENT-AIDED SCH,EAST,MARINE PARADE,Yes,Yes,No
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61   ,768547,1.41922603586175,103.837390782849,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,YISHUN,No,No,No
CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3   ,129903,1.31506321827875,103.763144493687,PRIMARY,GOVERNMENT SCHOOL,WEST,CLEMENTI,No,No,No
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3   ,129904,1.31553912945073,103.762020598524,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CLEMENTI,No,No,No
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD   ,608784,1.31920395934801,103.745637393049,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG EAST,No,Yes,No
COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST   ,545091,1.39444529636566,103.897812229905,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT   ,545083,1.39614083952009,103.899847164494,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4   ,689814,1.38000806197242,103.736225440727,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24   ,648347,1.35099779872539,103.707593724342,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD   ,247961,1.29331947077104,103.817544461755,SECONDARY (S1-S4),GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,Yes,No
CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24   ,609561,1.3431198045076,103.742628105304,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,WEST,JURONG EAST,No,No,No
DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT   ,479226,1.33546106800406,103.921270169613,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD   ,479229,1.33692798510393,103.927091653438,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31   ,659441,1.3591797447277,103.74847210784,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
DE LA SALLE SCHOOL,11 Choa Chu Kang St 52   ,689285,1.3947078296399,103.743201812831,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CHOA CHU KANG,No,No,No
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42   ,569277,1.36599702567717,103.852545772422,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2   ,659204,1.36357900792871,103.74472109107,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD   ,436895,1.29996216014962,103.88294155989,MIXED LEVEL (S1-JC2),GOVERNMENT SCHOOL,EAST,KALLANG,Yes,Yes,Yes
DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45   ,529093,1.36065258337022,103.956213906966,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,Yes,No
EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33   ,529258,1.35268400746357,103.961676849165,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34   ,529231,1.35622508992581,103.960640700298,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS   ,828869,1.40009139510996,103.907847599114,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD   ,828814,1.40059309981824,103.902687385465,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52   ,518866,1.37451269377776,103.945128117139,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link   ,757521,1.45403837499301,103.817436231731,PRIMARY,GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
EUNOIA JUNIOR COLLEGE,2 Sin Ming Place   ,573838,1.36213757183547,103.841286169122,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,BISHAN,No,No,No
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE   ,738908,1.44415332824735,103.794577787757,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83   ,738489,1.44149131273737,103.794137756171,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD   ,139648,1.30054082453424,103.785438270044,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,QUEENSTOWN,No,No,No
FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD   ,139649,1.30163374395823,103.784099647149,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,QUEENSTOWN,No,Yes,No
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD   ,217567,1.31236867681371,103.850766402965,PRIMARY,GOVERNMENT SCHOOL,SOUTH,KALLANG,No,No,No
FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD   ,469680,1.32980598760785,103.931710293058,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
FERN GREEN PRIMARY SCHOOL,70 Fernvale Link   Fern Green Primary School,797538,1.39726966050479,103.880330305684,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane   ,797701,1.39030227963797,103.874445458032,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH   ,319252,1.34032299499938,103.855529906182,PRIMARY,GOVERNMENT SCHOOL,SOUTH,TOA PAYOH,No,No,No
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61   ,648200,1.33641298743234,103.69970173931,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1   ,739063,1.43047990810126,103.778192944298,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13   ,609647,1.33650394789627,103.736103745748,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG EAST,No,No,No
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41   ,649410,1.34701408913756,103.72652089832,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE   ,158901,1.28559516494962,103.815547410064,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
GAN ENG SENG SCHOOL,1 HENDERSON ROAD   ,159561,1.28907114485773,103.823733673089,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
GEYLANG METHODIST SCHOOL (PRIMARY),4 Geylang East Central   ,389706,1.31759126757284,103.883845744916,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GEYLANG,No,No,No
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL   ,389705,1.31764900474601,103.882661129303,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,GEYLANG,No,No,No
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42   ,529176,1.35723721393297,103.949115320172,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
GREENDALE PRIMARY SCHOOL,50 Edgedale Plains   ,828848,1.39648195114256,103.91233462071,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS   ,828866,1.39696019936894,103.91170014084,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
GREENRIDGE PRIMARY SCHOOL,11 JELAPANG ROAD   ,677744,1.3858892193692,103.767794469258,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
GREENRIDGE SECONDARY SCHOOL,31 Gangsa Road   ,678972,1.375600053443,103.763998914082,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62   ,737942,1.43989958331782,103.804725587384,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
GUANGYANG SECONDARY SCHOOL,8 BISHAN STREET 12   ,579807,1.34440943525695,103.850212163078,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,BISHAN,No,No,No
HAI SING CATHOLIC SCHOOL,9 Pasir Ris Drive 6   ,519421,1.3743371707478,103.954544548905,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,PASIR RIS,No,No,No
HAIG GIRLS' SCHOOL,51 Koon Seng Road   ,427072,1.31194344271383,103.902902557195,PRIMARY,GOVERNMENT SCHOOL,EAST,GEYLANG,No,No,No
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD   ,278790,1.31667646178347,103.784296227747,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT TIMAH,No,No,Yes
HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52   ,659250,1.35273576615912,103.752986488399,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD   ,534786,1.37154508822261,103.896398814264,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,HOUGANG,No,No,No
HOLY INNOCENTS' PRIMARY SCHOOL,5 Lorong Low Koon   ,536451,1.36693830877349,103.894114899795,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,HOUGANG,Yes,No,No
HONG WEN SCHOOL,30 TOWNER ROAD   ,327829,1.32175999964553,103.857628468881,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,KALLANG,Yes,No,No
HORIZON PRIMARY SCHOOL,61 Edgedale Plains   ,828819,1.399550034492,103.913404855665,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93   ,534238,1.37738245231461,103.880805274557,PRIMARY,GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
HOUGANG SECONDARY SCHOOL,2 HOUGANG STREET 93   ,534256,1.3776287955319,103.882539108965,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42   ,649371,1.35234365488339,103.721832320169,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,1.42697284512936,103.844240226564,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD   ,269734,1.32561493280909,103.805730574839,MIXED LEVEL (S1-JC2),INDEPENDENT SCHOOL,WEST,BUKIT TIMAH,Yes,No,Yes
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,1.42896700684852,103.790607539185,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,1.42768847665227,103.830425490093,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,1.37223290983498,103.852132214306,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,1.34787074766746,103.939221709073,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84   ,528933,1.35361315263537,103.933886165824,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
JURONG PIONEER JUNIOR COLLEGE,21 Teck Whye Walk   ,688258,1.38437406410733,103.75437461519,JUNIOR COLLEGE,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,1.34843859698946,103.733156566858,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG EAST,No,No,No
