quarter,market_segment,completion_status,launch_status,pre_requisites_status,units
2016-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2474
2016-Q3,Core Central Region,Completed,na,na,753
2016-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,948
2016-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,1653
2016-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2110
2016-Q3,Outside Central Region,Completed,na,na,629
2016-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1765
2016-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2943
2016-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4028
2016-Q3,Rest of Central Region,Completed,na,na,543
2016-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1985
2016-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2408
2016-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2737
2016-Q4,Core Central Region,Completed,na,na,853
2016-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,778
2016-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,2465
2016-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1698
2016-Q4,Outside Central Region,Completed,na,na,640
2016-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1837
2016-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2348
2016-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3533
2016-Q4,Rest of Central Region,Completed,na,na,538
2016-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,2591
2016-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2017
2016-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1804
2017-Q1,Core Central Region,Completed,na,na,633
2017-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,591
2017-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,2642
2017-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1689
2017-Q1,Outside Central Region,Completed,na,na,465
2017-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1555
2017-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,1471
2017-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2878
2017-Q1,Rest of Central Region,Completed,na,na,779
2017-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,2037
2017-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,1482
2017-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1585
2017-Q2,Core Central Region,Completed,na,na,659
2017-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,454
2017-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,2278
2017-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2070
2017-Q2,Outside Central Region,Completed,na,na,500
2017-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1416
2017-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2072
2017-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1968
2017-Q2,Rest of Central Region,Completed,na,na,685
2017-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1450
2017-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2276
2017-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1101
2017-Q3,Core Central Region,Completed,na,na,908
2017-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,287
2017-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,2420
2017-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1533
2017-Q3,Outside Central Region,Completed,na,na,204
2017-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,874
2017-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2337
2017-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2129
2017-Q3,Rest of Central Region,Completed,na,na,278
2017-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1062
2017-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4691
2017-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,698
2017-Q4,Core Central Region,Completed,na,na,1519
2017-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,123
2017-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,2413
2017-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,775
2017-Q4,Outside Central Region,Completed,na,na,147
2017-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,722
2017-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2970
2017-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1429
2017-Q4,Rest of Central Region,Completed,na,na,237
2017-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,659
2017-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,9121
2017-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,679
2018-Q1,Core Central Region,Completed,na,na,1622
2018-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,152
2018-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,3684
2018-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,467
2018-Q1,Outside Central Region,Completed,na,na,80
2018-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,498
